id,name,target_group_cleaned,target_group_bucket,loi_minutes,location_cleaned,tg_freq,loc_freq,tg_loc_freq,tg_avg_loi,loc_avg_loi,tg_diversity,loi_deviation_tg,loi_deviation_loc,is_feasible
1.0,B2B_Coffee_Manufacturer__Retail,Coffee Manufacturers Retailers,it,0.46803652968036535,,0.2,0.0,0.0,45.0,0.0,0.0,0.31233690589639934,0.7025816588534193,1
2.0,SoW_for_Atheneum_Access_Landscape_Research_Study_May_125,Medical Directors,healthcare,0.29680365296803657,United States,0.2,1.0,0.3333333333333333,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
3.0,SoW_for_Atheneum_Acquired_Fibrinogen_Study_Mar_21_25,Healthcare Practitioners,healthcare,0.29680365296803657,United States,0.2,1.0,0.3333333333333333,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
4.0,SoW_for_Atheneum_Alarm_System_Landscape_Survey_Apr_7_25,Decisionmakers At Alarm Systems Integrators And Distributors,b2b,0.12557077625570778,United States,0.2,1.0,0.3333333333333333,15.0,29.589285714285715,0.25,0.31233690589639934,0.10948401261161303,1
5.0,SoW_for_Atheneum_CASGEVY_Message_Testing_Study_May_825,Haematologiststransplanters,other,0.29680365296803657,United States,0.2,1.0,0.3333333333333333,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
6.0,SoW_for_Atheneum_Chemical_DMs_Study_May_6_25,Decision Maker Buyers Or Users,consumer,0.18264840182648404,United States,0.2,1.0,0.3333333333333333,20.0,29.589285714285715,0.25,0.31233690589639934,0.15924947288961894,1
7.0,SoW_for_Atheneum_GLP-1_Agonists_-_HK_Survey_Mar_6_25,Licensed Doctors Or Doctors,healthcare,0.5251141552511416,Hong Kong,0.2,0.0058823529411764705,0.3333333333333333,50.0,50.0,0.25,0.31233690589639934,0.254692516351366,1
8.0,SoW_for_Atheneum_Haematologists_Treating_Myelofibrosis_Study_Apr_29_25,Haematologists Treating Myelofibrosis,other,0.29680365296803657,Canada,0.2,0.01764705882352941,0.3333333333333333,30.0,30.0,0.25,0.31233690589639934,0.254692516351366,1
9.0,SoW_for_Atheneum_HCPs_Study_Apr_1425,Healthcare Professionals,healthcare,0.6392694063926941,Germany,0.6000000000000001,0.01764705882352941,0.3333333333333333,35.0,45.0,0.5,0.7027580382668985,0.4039888971853838,1
10.0,SoW_for_Atheneum_Healthcare_Professionals_Survey_May_19_25,Healthcare Professionals,healthcare,0.29680365296803657,United States,0.6000000000000001,1.0,0.6666666666666666,35.0,29.589285714285715,0.5,0.2342526794222995,0.2587803934456308,1
11.0,SoW_for_Atheneum_Health_System_Decision_Makers_Study_Mar_19_2025,Health System Decision Makers,other,0.12557077625570778,United States,0.6000000000000001,1.0,1.0,30.0,29.589285714285715,0.25,0.07808422647409985,0.10948401261161303,1
12.0,SoW_for_Atheneum_Health_System_Decision_Makers_Study_Nov_25_24,Health System Decision Makers,other,0.29680365296803657,United States,0.6000000000000001,1.0,1.0,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
13.0,SoW_for_Atheneum_HER2m_NSCLC_Study_May_825,Medhem Oncologistspulmonologists,healthcare,0.29680365296803657,United States,0.2,1.0,0.3333333333333333,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
14.0,SoW_for_Atheneum_Hospitals_and_Health_Systems_Survey_May_29_25,Hospitals And Health Systems,healthcare,0.18264840182648404,United States,0.2,1.0,0.3333333333333333,20.0,29.589285714285715,0.25,0.31233690589639934,0.15924947288961894,1
15.0,SoW_for_Atheneum_Infectious_Disease_Specialists_Study_Feb_12_25,Infectious Disease Specialists,other,0.46803652968036535,United States,0.2,1.0,0.3333333333333333,45.0,29.589285714285715,0.25,0.31233690589639934,0.4080767742796485,1
16.0,SoW_for_Atheneum_Medical_Physics_Study_May_8_25,Decision Makers,other,,United States,0.8,1.0,1.0,25.0,29.589285714285715,0.25,,,1
17.0,SoW_for_Atheneum_Microbial_Cell_Line_Solutions_Study_May_19_25,Healthcare Professionals,healthcare,0.12557077625570778,United States,0.6000000000000001,1.0,0.6666666666666666,35.0,29.589285714285715,0.5,0.0,0.10948401261161303,1
18.0,SoW_for_Atheneum_Neurologists_Study_Feb_20_25,Neurologistsneuromuscular Specialistsneuroimmunologistsmovement Disorder Specialist Neurologists,other,0.4109589041095891,United States,0.2,1.0,0.3333333333333333,40.0,29.589285714285715,0.25,0.31233690589639934,0.3583113140016426,1
19.0,SoW_for_Atheneum_NSCLC_Nurse_Navigators_and_Practice_Managers_Study_May_1325,Nurse Navigatorspractice Managersnurses,healthcare,0.4109589041095891,United States,0.2,1.0,0.3333333333333333,40.0,29.589285714285715,0.25,0.31233690589639934,0.3583113140016426,1
20.0,SoW_for_Atheneum_Oncologists_KOLs_Study_Feb_24_25,Medicalheme Oncologists Kols Who Treat Chronic Lymphocytic Leukemia Cll Patients,healthcare,0.29680365296803657,United States,0.2,1.0,0.3333333333333333,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
21.0,SoW_for_Atheneum_Pediatric_Insights_Study_May_19_25,Paediatriciandermatologists Paediatric,other,0.18264840182648404,"United Kingdom, Italy, France, Germany, Spain",0.2,0.0058823529411764705,0.3333333333333333,20.0,20.0,0.25,0.31233690589639934,0.254692516351366,1
22.0,SoW_for_Atheneum_Pharmacy_Directors_MACR_2025_Study_Apr_725,Pharmacy Directors,b2b,0.29680365296803657,United States,0.2,1.0,0.3333333333333333,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
23.0,SoW_for_Atheneum_Physicians_Board-certified_Ophthalmology_Survey_Jun_4_25,Physicians Boardcertified,healthcare,0.18264840182648404,United States,0.2,1.0,0.3333333333333333,20.0,29.589285714285715,0.25,0.31233690589639934,0.15924947288961894,1
24.0,SoW_for_Atheneum_Physician_Quant_Study_May_2_25,Physician Quant Studyindividuals Who Meet The Following Criteria Have More Than Years,healthcare,0.18264840182648404,United States,0.2,1.0,0.3333333333333333,20.0,29.589285714285715,0.25,0.31233690589639934,0.15924947288961894,1
25.0,SoW_for_Atheneum_Pluvicto_Survey_Wave_2_May_22_25 (1),Nuclear Support Staff,other,0.29680365296803657,United States,0.4,1.0,0.6666666666666666,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
26.0,SoW_for_Atheneum_Pluvicto_Survey_Wave_2_May_22_25,Nuclear Support Staff,other,0.29680365296803657,United States,0.4,1.0,0.6666666666666666,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
27.0,SoW_for_Atheneum_Preventive_Migraine_Study_Apr_25_25,Neurologists Prophylactically Treating Paediatric Patients Aged Suffering,healthcare,0.35388127853881285,"Australia, Brazil, Canada, Israel, Japan, China",0.2,0.0058823529411764705,0.3333333333333333,35.0,35.0,0.25,0.31233690589639934,0.254692516351366,1
28.0,SoW_for_Atheneum_Pricing_Strategy_of_Cancer_Treatment_Study_Feb_20_25,Medical Clinical Oncologists,healthcare,0.29680365296803657,Malaysia,0.2,0.0058823529411764705,0.3333333333333333,30.0,30.0,0.25,0.31233690589639934,0.254692516351366,1
29.0,SoW_for_Atheneum_Public_Channel_Sizing_Study_Jan_13_25,Distributors,b2b,0.18264840182648404,Philippines,0.4,0.0058823529411764705,0.3333333333333333,20.0,20.0,0.5,0.31233690589639934,0.254692516351366,1
30.0,SoW_for_Atheneum_Pulmonologists_and_Infectious_Disease_Specialists_Stu_vpkX2CE,Pulmonologists And Infectious Disease Specialists,other,0.12557077625570778,United States,0.2,1.0,0.3333333333333333,15.0,29.589285714285715,0.25,0.31233690589639934,0.10948401261161303,1
31.0,SoW_for_Atheneum_Sacral_Neuromodulation_Devices_SNMD_and_Botox_Therapy_14dF8m7,Medical Device Or Pharma Company Providing Snmd Implants Or Botox Therapyhealthcare Organisations,healthcare,0.0684931506849315,"Norway, Ireland, Switzerland, United States, Australia, Israel, Sweden, Netherlands, Canada, Belgium, Germany, United Arab Emirates, United Kingdom, France, Japan, Italy, Saudi Arabia, Spain",0.2,0.0058823529411764705,0.3333333333333333,10.0,10.0,0.25,0.31233690589639934,0.254692516351366,1
32.0,SoW_for_Atheneum_STD_and_Long_Term_Care_Survey_Mar_27_25,Health Care Professionals,other,0.0684931506849315,United States,0.2,1.0,0.3333333333333333,10.0,29.589285714285715,0.25,0.31233690589639934,0.05971855233360712,1
33.0,SoW_for_Atheneum_TAVI_and_Ortho_Study_Wave_2_May_23_25,Heads,other,0.18264840182648404,,0.2,0.0,0.0,20.0,0.0,0.0,0.31233690589639934,0.4537543574633897,1
34.0,SoW_for_Atheneum_TAVI_Study_Feb_10_25,Cardiologistsorthopaedic Surgeons,other,0.35388127853881285,"India, Germany, Spain, Brazil",0.2,0.0058823529411764705,0.3333333333333333,35.0,35.0,0.25,0.31233690589639934,0.254692516351366,1
35.0,SoW_for_Atheneum_Transplant_Nephrology_Study_Jan_13_25,Renal Transplant Surgeonstransplant Nephrologists,other,0.14840182648401828,United States,0.2,1.0,0.3333333333333333,17.0,29.589285714285715,0.25,0.31233690589639934,0.1293901967228154,1
36.0,SoW_for_Atheneum_Urology_and_Medical_Oncology_Study_May_20_25,Urologymedical Oncology,healthcare,0.18264840182648404,United States,0.2,1.0,0.3333333333333333,20.0,29.589285714285715,0.25,0.31233690589639934,0.15924947288961894,1
37.0,SoW_for_Atheneum_Vaccine_Study_Jan_13_25,Health System Decision Makers,other,0.46803652968036535,United States,0.6000000000000001,1.0,1.0,30.0,29.589285714285715,0.25,0.5465895853186988,0.4080767742796485,1
38.0,SoW_for_Atheneum_Vial_Study_Feb_11_25,Billing Codinginfusion Nursepractice Managerpharmacist,healthcare,0.29680365296803657,United States,0.2,1.0,0.3333333333333333,30.0,29.589285714285715,0.25,0.31233690589639934,0.2587803934456308,1
39.0,SoW_for_Cint_Opinion_Leaders_Survey_Jan_7_25,Opinion Leaders,other,0.35388127853881285,Azerbaijan,0.2,0.0058823529411764705,0.3333333333333333,35.0,35.0,0.25,0.31233690589639934,0.254692516351366,1
40.0,SoW_for_Oxford_Economics_IBM_Global_Pulse_Wave_8_CFOs_Use_of_AI_2024_S_HL9O5T8 (1),Cfos And Other Equivalent Job Titles,other,0.12557077625570778,"Australia, Germany, India, Singapore, United Kingdom, United States",0.4,0.011764705882352941,0.6666666666666666,15.0,15.0,0.25,0.31233690589639934,0.254692516351366,1
41.0,SoW_for_Oxford_Economics_IBM_Global_Pulse_Wave_8_CFOs_Use_of_AI_2024_S_HL9O5T8,Cfos And Other Equivalent Job Titles,other,0.12557077625570778,"Australia, Germany, India, Singapore, United Kingdom, United States",0.4,0.011764705882352941,0.6666666666666666,15.0,15.0,0.25,0.31233690589639934,0.254692516351366,1
42.0,SoW_for_Oxford_Economics_IBV_Grid_Modernization_Survey_Dec_2_24_DD (1),Not Mentioned,other,0.29680365296803657,Canada,0.2,0.01764705882352941,0.3333333333333333,30.0,30.0,0.25,0.31233690589639934,0.254692516351366,1
43.0,SoW for Cint_Opinion Leaders Survey_Jan 7' 25, Respondents Fulfilling The Below Mentioned Criteria,other,0.35388127853881285,,0.2,0.0,0.0,35.0,0.0,0.0,0.31233690589639934,0.6030507382974075,1
44.0,SoW_for_pro_Sapient_Association_Management_Software_Survey_Jan_3_25,Unimrkt Will Target The Respondents Fulfilling The Below Mentioned Criteria Must Belong To A Member Organization Eg Trade Unions Alumni Organizations Etc Must Be Purchasing Association Management Software Solutions Such As Protech Nimble Altai And Fonteva,it,0.2397260273972603,,0.2,0.0,0.0,25.0,0.0,0.0,0.31233690589639934,0.5035198177413956,1
45.0,SoW_for_Pro_Sapient_Auction_Platforms_Study_Jan_20_25,Buyers And Sellers At Auction Platforms,it,0.5251141552511416,"Netherlands, Belgium, Sweden, Norway",0.2,0.0058823529411764705,0.3333333333333333,50.0,50.0,0.25,0.31233690589639934,0.254692516351366,1
46.0,SoW_for_pro_Sapient_Capital_Markets_Software_Study_Jan_20_25,Decision Makers Involved,other,0.4109589041095891,United States,0.2,1.0,0.3333333333333333,40.0,29.589285714285715,0.25,0.31233690589639934,0.3583113140016426,1
